Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,1,75,78.0000000000002,5.4999999999993605,5.4999999999993605,0.3186194896697998,0.27058911323547363,67.0|78.0,67.0|78.0,2,2,7.251926884649137,7.251926884649137,0.37923622131347656,0.27135133743286133,80,58,64.7914|76.70474,64.7914|76.70474,2,2
500,1,3,12,-7.771561172375972e-16,5.181040781584047e-16,0.0,0.308762788772583,0.004656791687011719,-0.0,-0.0,1,1,0.0775463906533148,0.03883863633752164,0.2843465805053711,0.003728151321411133,80,2,0.03884|0.06858|0.12522,0.03884,3,1
500,2,3,65,4.999999999999974,0.33333333333333687,0.4999999999999809,0.30896592140197754,0.015351533889770508,4.0|5.0,4.0|5.0,2,2,0.8127263903806954,0.8361556388609288,0.2821969985961914,0.01880168914794922,80,16,3.64633|4.23413|4.68136,3.64633|4.68136,3,2
500,3,34,45,-3.615465414974954e-15,0.0,0.0,0.3023257255554199,0.03442859649658203,-0.0,-0.0,1,1,0.2644128956356835,0.2644128956356835,0.28115200996398926,0.02925872802734375,80,21,0.26441,0.26441,1,1
500,4,66,55,2.228348739126374e-13,0.0,0.0,0.27607154846191406,0.148726224899292,0.0,0.0,1,1,0.3602311268675658,0.3602311268675658,0.30008792877197266,0.14288783073425293,80,39,0.36023,0.36023,1,1
500,5,66,16,3.376891941928252e-14,0.0,0.0,0.2907745838165283,0.07452702522277832,0.0,0.0,1,1,0.005783552157608643,0.005783552157608643,0.35976433753967285,0.08627152442932129,80,32,-0.00578,-0.00578,1,1
500,6,6,40,-3.3306690738754236e-14,0.5000000000000066,0.5000000000000066,0.2908320426940918,0.011112689971923828,-0.0|1.0,-0.0|1.0,2,2,0.5662240387880104,0.5662240387880104,0.2727348804473877,0.01477813720703125,80,10,-0.18475|0.9477,-0.18475|0.9477,2,2
500,7,15,61,1.000000000000006,4.833333333333325,4.833333333333325,0.27393054962158203,0.06841206550598145,1.0|10.66667,1.0|10.66667,2,2,4.914441266049132,4.914441266049132,0.2832305431365967,0.06344771385192871,80,33,1.15659|10.67229,1.15659|10.67229,2,2
500,8,34,12,1.1138363010260557e-16,0.0,0.0,0.2882091999053955,0.014279365539550781,0.0,0.0,1,1,0.03154181400257061,0.03154181400257061,0.29189014434814453,0.013392210006713867,80,11,-0.03154,-0.03154,1,1
500,9,64,78,-5.07740817075422e-13,0.0,0.0,0.2953040599822998,0.27178430557250977,-0.0,-0.0,1,1,1.4824399439008222,1.4824399439008222,0.2941770553588867,0.25125813484191895,80,60,-1.48244,-1.48244,1,1
500,10,26,32,-4.625929269271472e-16,0.0,0.0,0.283933162689209,0.011496305465698242,-0.0,-0.0,1,1,0.08905416341404816,0.08905416341404816,0.34888458251953125,0.007997989654541016,80,9,-0.08905,-0.08905,1,1
500,11,16,79,31.00000000000004,0.0,0.0,0.28994131088256836,0.2709791660308838,31.0,31.0,1,1,0.07934086840133503,0.07934086840133503,0.2759251594543457,0.2677319049835205,80,51,30.92066,30.92066,1,1
