Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,CO,VENTLUNG,2.0,0.0,0.0,0.06890702247619629,0.0107879638671875,2.0,2.0,1,1,0.22219752875416696,0.07585984138486479,0.03295540809631348,0.009096145629882812,37,13,2.07586|2.25923|2.3315,2.07586,3,1
500,1,CO,VENTLUNG,2.0,0.0,0.0,0.029600143432617188,0.012382984161376953,2.0,2.0,1,1,0.13193829752202837,0.061516958105062525,0.03350830078125,0.009263277053833008,37,13,2.04401|2.06152|2.29029,2.06152,3,1
500,2,HRSAT,VENTALV,2.0,0.0,0.0,0.03041839599609375,0.008707284927368164,2.0,2.0,1,1,0.025282095929717308,0.025282095929717308,0.03330826759338379,0.007270336151123047,37,11,2.02528,2.02528,1,1
500,3,CO,VENTLUNG,2.0,0.0,0.0,0.03746366500854492,0.010032892227172852,2.0,2.0,1,1,0.1558060926333047,0.10150398092002133,0.0329740047454834,0.008944034576416016,37,13,1.80418|1.82991|1.8985,1.8985,3,1
500,4,HRBP,INSUFFANESTH,1.0,0.0,0.0,0.030857324600219727,0.007842540740966797,1.0,1.0,1,1,0.03840555776190291,0.004476733703621005,0.026313066482543945,0.005963325500488281,37,7,0.92767|0.99552,0.99552,2,1
500,5,CO,HYPOVOLEMIA,1.0,0.3333333333333333,0.5,0.025946378707885742,0.019017457962036133,0.0|1.0,0.0|1.0,2,2,0.34442392973273267,0.4843673170854911,0.028910398483276367,0.009225130081176758,37,6,0.06436|1.0331|1.06454,0.06436|1.0331,3,2
500,6,EXPCO2,MINVOLSET,2.0,0.0,0.0,0.03492403030395508,0.015323877334594727,2.0,2.0,1,1,0.00231264474183579,0.00231264474183579,0.02801966667175293,0.015207529067993164,37,17,2.00231,2.00231,1,1
500,7,BP,VENTALV,2.0,1.0,1.0,0.027412891387939453,0.013800621032714844,0.0|2.0,0.0|2.0,2,2,0.9598886697533313,0.9598886697533313,0.03649640083312988,0.013202905654907227,37,12,0.13097|2.05075,0.13097|2.05075,2,2
500,8,CATECHOL,SHUNT,1.0,0.0,0.0,0.034331560134887695,0.008775711059570312,1.0,1.0,1,1,0.0018418584836492613,0.0018418584836492613,0.025450468063354492,0.008612632751464844,37,8,1.00184,1.00184,1,1
500,9,SAO2,VENTALV,1.0,0.0,0.0,0.027132272720336914,0.009866952896118164,1.0,1.0,1,1,0.034727222827184434,0.034727222827184434,0.03590035438537598,0.00943303108215332,37,11,0.96527,0.96527,1,1
500,10,HREKG,INTUBATION,5.0,0.0,0.0,0.02759552001953125,0.012262344360351562,5.0,5.0,1,1,0.07132977757784076,0.07132977757784076,0.034403324127197266,0.011827468872070312,37,16,4.92867,4.92867,1,1
500,11,ARTCO2,DISCONNECT,1.0,0.0,0.0,0.02832508087158203,0.01241159439086914,1.0,1.0,1,1,0.11035977079323478,0.11035977079323478,0.037006378173828125,0.013436317443847656,37,16,0.88964,0.88964,1,1
500,12,SAO2,VENTMACH,1.0,0.0,0.0,0.03171205520629883,0.014402627944946289,1.0,1.0,1,1,0.03830049463976404,0.03830049463976404,0.026226282119750977,0.013977766036987305,37,16,0.9617,0.9617,1,1
500,13,CO,SAO2,1.0,0.0,0.0,0.02930760383605957,0.005881071090698242,1.0,1.0,1,1,0.018751600363760074,0.0029668550571746444,0.0333714485168457,0.006870746612548828,37,7,0.94954|0.99703|0.99717,0.99703,3,1
500,14,CO,INTUBATION,5.0,0.0,0.0,0.030086755752563477,0.01349639892578125,5.0,5.0,1,1,0.14739942531638572,0.1763276981859967,0.03778576850891113,0.012391328811645508,37,16,4.74762|4.82367|4.98651,4.82367,3,1
500,15,HREKG,ANAPHYLAXIS,1.0,0.0,0.0,0.026964426040649414,0.01932525634765625,1.0,1.0,1,1,0.0024779820423542764,0.0024779820423542764,0.02654886245727539,0.009613752365112305,37,9,0.99752,0.99752,1,1
