Sample_Size,Exp_ID,T,Y,Time_Full,Time_Local,Vars_Full,Vars_Local,Eff_Full_Set,Eff_Local_Set,Set_Size_Full,Set_Size_Local,Recall_Uniq
500,0,MvmtFeatures,AMCINInScen,0.07823395729064941,0.004257917404174805,56,2,0.0,0.0,1,1,1.0
500,1,AreaMeso_ALS,AMDewptCalPl,0.09178495407104492,0.025761842727661133,56,18,0.0,0.0,1,1,1.0
500,2,CompPlFcst,TempDis,0.07949972152709961,0.013177633285522461,56,7,0.0,0.0,1,1,1.0
500,3,CapChange,OutflowFrMt,0.10048389434814453,0.019343137741088867,56,8,1.0|1.6,1.0|1.6,2,2,1.0
500,4,CapChange,TempDis,0.07802510261535645,0.003761768341064453,56,2,0.0,0.0,1,1,1.0
500,5,MeanRH,WindFieldMt,0.07065820693969727,0.0037322044372558594,56,2,0.0,0.0,1,1,1.0
500,6,RHRatio,AreaMeso_ALS,0.06989765167236328,0.034436702728271484,56,17,0.0,0.0,1,1,1.0
500,7,InsSclInScen,AreaMoDryAir,0.06922435760498047,0.02799677848815918,56,15,2.5|3.0|5.5,2.5|3.0|5.5,3,3,1.0
500,8,SubjVertMo,WindFieldPln,0.06932711601257324,0.03035116195678711,56,19,0.0,0.0,1,1,1.0
500,9,OutflowFrMt,AMDewptCalPl,0.14202213287353516,0.015063047409057617,56,10,0.0,0.0,1,1,1.0
500,10,Date,CapInScen,0.06659555435180664,0.017979860305786133,56,24,0.0,0.0,1,1,1.0
500,11,WndHodograph,CombMoisture,0.061426639556884766,0.023381471633911133,56,17,0.0,0.0,1,1,1.0
500,12,ScenRelAMIns,CapInScen,0.06588864326477051,0.007710695266723633,56,5,0.0|0.5,0.0|0.5,2,2,1.0
500,13,InsChange,WindFieldMt,0.0657510757446289,0.003454446792602539,56,2,0.0,0.0,1,1,1.0
500,14,ScenRelAMCIN,TempDis,0.059790849685668945,0.003817319869995117,56,2,0.0,0.0,1,1,1.0
500,15,MorningCIN,WindFieldMt,0.06255459785461426,0.003464221954345703,56,2,0.0,0.0,1,1,1.0
500,16,Dewpoints,CompPlFcst,0.06735444068908691,0.010149955749511719,56,7,0.0,0.0,1,1,1.0
500,17,PlainsFcst,LoLevMoistAd,0.05740714073181152,0.006890296936035156,56,4,0.0|1.0,0.0|1.0,2,2,1.0
500,18,ScenRel3_4,CldShadeOth,0.06130528450012207,0.01784825325012207,56,15,0.0|4.33333,0.0|4.33333,2,2,1.0
500,19,RaoContMoist,CapChange,0.06110525131225586,0.03197836875915527,56,17,0.0,0.0,1,1,1.0
500,20,Dewpoints,InsInMt,0.060852766036987305,0.021914005279541016,56,14,0.0,0.0,1,1,1.0
500,21,LowLLapse,PlainsFcst,0.06351351737976074,0.003473043441772461,56,2,0.0,0.0,1,1,1.0
500,22,AMCINInScen,SynForcng,0.06846380233764648,0.003814697265625,56,2,0.0,0.0,1,1,1.0
500,23,ScenRelAMCIN,CldShadeConv,0.06438231468200684,0.01041102409362793,56,9,0.0|1.16667,0.0|1.16667,2,2,1.0
500,24,MorningCIN,LatestCIN,0.06022906303405762,0.008326292037963867,56,6,0.0|0.5,0.0|0.5,2,2,1.0
500,25,WindFieldPln,AMCINInScen,0.06255006790161133,0.006268501281738281,56,2,0.0,0.0,1,1,1.0
500,26,N0_7muVerMo,PlainsFcst,0.06745243072509766,0.028483152389526367,56,18,0.0,0.0,1,1,1.0
500,27,WindAloft,MorningBound,0.05586528778076172,0.011275768280029297,56,9,0.0,0.0,1,1,1.0
500,28,CombMoisture,ScenRelAMCIN,0.06111764907836914,0.026486873626708984,56,18,0.0,0.0,1,1,1.0
500,29,OutflowFrMt,MorningCIN,0.0688486099243164,0.012270212173461914,56,10,0.0,0.0,1,1,1.0
500,30,MidLLapse,CurPropConv,0.05585312843322754,0.003501415252685547,56,2,0.0,0.0,1,1,1.0
500,31,WindFieldPln,AMDewptCalPl,0.06029200553894043,0.0036039352416992188,56,2,0.0,0.0,1,1,1.0
500,32,SubjVertMo,WindFieldPln,0.05676388740539551,0.030729293823242188,56,19,0.0,0.0,1,1,1.0
500,33,Boundaries,InsInMt,0.06148791313171387,0.01858377456665039,56,13,1.0,1.0,1,1,1.0
500,34,CapChange,WindFieldMt,0.06363844871520996,0.00404047966003418,56,2,0.0,0.0,1,1,1.0
500,35,WindAloft,MorningBound,0.057566165924072266,0.01152658462524414,56,9,0.0,0.0,1,1,1.0
500,36,InsSclInScen,CapChange,0.06489896774291992,0.009545087814331055,56,4,0.0|0.75,0.0|0.75,2,2,1.0
500,37,QGVertMotion,WindAloft,0.05974292755126953,0.03862786293029785,56,19,0.0,0.0,1,1,1.0
500,38,LIfr12ZDENSd,Scenario,0.0562899112701416,0.014673709869384766,56,24,0.0|2.16667,0.0|2.16667,2,2,1.0
500,39,AreaMoDryAir,WndHodograph,0.06904220581054688,0.02372908592224121,56,16,0.0,0.0,1,1,1.0
500,40,CapChange,SynForcng,0.07217812538146973,0.0044422149658203125,56,2,0.0,0.0,1,1,1.0
500,41,AMInsWliScen,RHRatio,0.08874845504760742,0.004791736602783203,56,2,0.0,0.0,1,1,1.0
500,42,CldShadeOth,VISCloudCov,0.09588408470153809,0.024210214614868164,56,16,1.0,1.0,1,1,1.0
500,43,OutflowFrMt,QGVertMotion,0.061569929122924805,0.027991533279418945,56,18,2.0,2.0,1,1,1.0
500,44,TempDis,AMDewptCalPl,0.06751823425292969,0.003618478775024414,56,2,0.0,0.0,1,1,1.0
500,45,ScenRelAMCIN,MeanRH,0.05852699279785156,0.003874063491821289,56,2,0.0,0.0,1,1,1.0
500,46,MorningCIN,CompPlFcst,0.061354637145996094,0.009006977081298828,56,8,0.0|1.16667,0.0|1.16667,2,2,1.0
500,47,MountainFcst,CurPropConv,0.0621793270111084,0.007709980010986328,56,5,0.0|0.5,0.0|0.5,2,2,1.0
500,48,CldShadeOth,SubjVertMo,0.06635808944702148,0.02707958221435547,56,18,2.0,2.0,1,1,1.0
500,49,InsInMt,SatContMoist,0.06406545639038086,0.026014328002929688,56,17,1.0,1.0,1,1,1.0
1000,0,AMDewptCalPl,AMCINInScen,0.06676149368286133,0.008066415786743164,56,6,0.0|0.5,0.0|0.5,2,2,1.0
1000,1,AreaMeso_ALS,MountainFcst,0.061691999435424805,0.027749300003051758,56,16,0.0,0.0,1,1,1.0
1000,2,TempDis,WindFieldPln,0.06638622283935547,0.003885507583618164,56,2,0.0,0.0,1,1,1.0
