Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,R_MYDY_APB_MUSIZE,R_LNLT1_APB_DE_REGEN,1.3088945132422897e-15,0.0,0.0,0.9254903793334961,0.055747270584106445,0.0,0.0,1,1,0.018116231296311115,0.018116231296311115,0.8421025276184082,0.077850341796875,186,37,-0.01812,-0.01812,1,1
500,1,R_APB_MUDENS,R_DIFFN_MEDD2_DISP,0.0,0.0,0.0,0.8581666946411133,0.013787031173706055,0.0,0.0,1,1,0.035942150288754235,0.008977569036260484,0.7745380401611328,0.011802434921264648,186,7,-0.01192|0.00898|0.04278|0.08009,0.00898,4,1
500,2,R_LNLT1_LP_BE_APB_MUDENS,R_MEDD2_BLOCK_EW,0.0,0.0,0.0,0.8125710487365723,0.006204366683959961,0.0,0.0,1,1,0.02399881964934831,0.0032410828946206408,0.9764204025268555,0.004958391189575195,186,2,-0.03904|0.00324|0.00396|0.04975,0.00324,4,1
500,3,R_LNLLP_APB_MUSIZE,R_APB_QUAL_MUPDUR,-4.229421046191072e-17,0.0,0.0,0.8575491905212402,0.015595674514770508,-0.0,-0.0,1,1,0.018570290072477798,0.018570290072477798,0.7788639068603516,0.022969961166381836,186,20,0.01857,0.01857,1,1
500,4,R_MEDD2_DISP_EWD,R_MYOP_APB_MUDENS,0.0,0.0,0.0,0.9217689037322998,0.006849050521850586,0.0,0.0,1,1,0.012344738900381125,0.004626009610933027,0.9051287174224854,0.005090951919555664,186,2,-0.00463|0.00021|0.0322,-0.00463,3,1
500,5,R_APB_MUPDUR,R_MEDD2_DSLOW_EW,0.0,0.0,0.0,0.9421422481536865,0.008956193923950195,0.0,0.0,1,1,0.0011141432374191219,0.0011141432374191219,0.9514641761779785,0.008395910263061523,186,4,-0.00111,-0.00111,1,1
500,6,R_MEDD2_CV_EW,R_APB_MUSCLE_VOL,0.0,0.0,0.0,0.795583963394165,0.0064580440521240234,0.0,0.0,1,1,0.09125561151346381,0.04254282187891428,0.7770953178405762,0.004607200622558594,186,2,0.04254|0.13997,0.04254,2,1
500,7,R_LNLBE_MEDD2_RD_EW,R_MEDD2_DISP_WD,0.0,0.0,0.0,0.8419840335845947,0.008287906646728516,0.0,0.0,1,1,0.0037203961624931274,0.0008639617276948548,0.8840019702911377,0.006045103073120117,186,4,-0.00658|-0.00086,-0.00086,2,1
500,8,R_MEDD2_RD_EW,R_APB_FORCE,0.0,0.0,0.0,0.7607626914978027,0.006140947341918945,0.0,0.0,1,1,0.02739952310126723,0.004769403125016522,0.7587430477142334,0.0043544769287109375,186,2,-0.02644|0.00477|0.05099,0.00477,3,1
500,9,R_APB_QUAN_MUPDUR,R_APB_SPONT_NEUR_DISCH,0.0,0.0,0.0,0.7697105407714844,0.006048440933227539,0.0,0.0,1,1,0.0009970496184385023,0.0009970496184385023,0.7772154808044434,0.004419088363647461,186,2,0.001,0.001,1,1
500,10,R_MEDD2_ALLAMP_WD,R_MED_CV_EW,0.0,0.0,0.0,0.7422137260437012,0.005930900573730469,0.0,0.0,1,1,0.05797649159659604,0.03068594614436989,0.7879068851470947,0.004453897476196289,186,2,0.03069|0.04045|0.10279,0.03069,3,1
500,11,R_LNLBE_MED_TIME,R_MYDY_APB_MUSIZE,6.115635305138575e-16,0.0,0.0,0.8044507503509521,0.07216429710388184,0.0,0.0,1,1,0.1382606180088748,0.1382606180088748,0.7618305683135986,0.08250641822814941,186,45,-0.13826,-0.13826,1,1
500,12,R_LNLT1_LP_APB_NEUR_ACT,R_LNLW_MEDD2_BLOCK_WD,0.0,0.0,0.0,0.8991210460662842,0.006032466888427734,0.0,0.0,1,1,0.029511016257977644,0.004429707298173686,0.7363326549530029,0.004272937774658203,186,2,0.00443|0.01447|0.04147|0.05767,0.00443,4,1
500,13,R_LNLBE_MED_DIFSLOW,R_APB_MULOSS,0.0,0.0,0.0,0.7632989883422852,0.008280754089355469,0.0,0.0,1,1,0.005327878820916015,0.004995438291590234,0.8060481548309326,0.006562948226928711,186,7,-0.005|0.00566,-0.005,2,1
500,14,R_MED_DCV_WA,R_LNLT1_LP_APB_MALOSS,1.0,0.0,0.0,0.7773981094360352,0.018428325653076172,1.0,1.0,1,1,0.030326774293257436,0.012944041863530709,0.7900900840759277,0.012809991836547852,186,12,0.99611|1.01294|1.07415,1.01294,3,1
500,15,R_LNLBE_APB_NEUR_ACT,R_DIFFN_LNLW_APB_DE_REGEN,0.0,0.0,0.0,0.8814563751220703,0.03693532943725586,0.0,0.0,1,1,0.030594557237511796,0.009543150269290753,0.8633532524108887,0.040659189224243164,186,32,0.00954|0.05165,0.00954,2,1
500,16,R_LNLLP_APB_MUSIZE,R_LNLW_MEDD2_RD_WD,0.0,0.0,0.0,0.869842529296875,0.021638154983520508,0.0,0.0,1,1,0.03731413923801099,0.03731413923801099,0.888115406036377,0.03801536560058594,186,21,0.03731,0.03731,1,1
500,17,R_MED_ALLDEL_WA,R_MEDD2_CV_EW,0.0,0.0,0.0,0.8632547855377197,0.005884885787963867,0.0,0.0,1,1,0.020526834820737232,0.00033431010311539674,0.7898378372192383,0.004365205764770508,186,2,-0.01976|-0.00033|0.0018|0.06022,-0.00033,4,1
500,18,R_MYDY_APB_MUSIZE,R_APB_SF_DENSITY,0.0,0.0,0.0,0.7493157386779785,0.015394210815429688,0.0,0.0,1,1,0.016538833304443386,0.016538833304443386,0.7891600131988525,0.029445648193359375,186,19,0.01654,0.01654,1,1
500,19,R_MED_LAT_WA,R_LNLT1_LP_APB_NEUR_ACT,0.0,0.0,0.0,0.9189927577972412,0.00657963752746582,0.0,0.0,1,1,0.053096474757719093,0.04056085950167941,0.9721882343292236,0.00499272346496582,186,2,0.04056|0.06563,0.04056,2,1
500,20,R_APB_DE_REGEN,R_LNLBE_MEDD2_BLOCK_EW,0.0,0.0,0.0,0.8528048992156982,0.027894973754882812,0.0,0.0,1,1,0.02623899861458432,0.02623899861458432,0.8523118495941162,0.026686906814575195,186,30,0.02624,0.02624,1,1
500,21,R_LNLBE_APB_NEUR_ACT,R_DIFFN_LNLW_APB_DE_REGEN,0.0,0.0,0.0,0.8423712253570557,0.0306546688079834,0.0,0.0,1,1,0.016538079520078425,0.007098713675901547,0.839331865310669,0.029720783233642578,186,32,-0.02598|0.0071,0.0071,2,1
500,22,R_LNLBE_MED_TIME,R_LNLW_MED_PATHO,-2.295715406852019e-15,0.0,0.0,0.749356746673584,0.3170902729034424,-0.0,-0.0,1,1,0.17264373475739586,0.17264373475739586,0.786710262298584,0.3169279098510742,186,86,-0.17264,-0.17264,1,1
500,23,R_MYOP_APB_DE_REGEN,R_DIFFN_MEDD2_BLOCK,0.0,0.0,0.0,0.7864444255828857,0.03396797180175781,0.0,0.0,1,1,0.008474358057405696,0.008474358057405696,0.7803020477294922,0.03568410873413086,186,34,-0.00847,-0.00847,1,1
500,24,R_LNLW_APB_MALOSS,R_APB_SPONT_DENERV_ACT,0.0,0.0,0.0,0.8687307834625244,0.022836685180664062,0.0,0.0,1,1,0.050402157888289105,0.050402157888289105,0.8104507923126221,0.016256332397460938,186,13,0.0504,0.0504,1,1
500,25,R_MEDD2_LD_WD,R_APB_MALOSS,0.0,0.0,0.0,0.8629577159881592,0.012679576873779297,0.0,0.0,1,1,0.02459382145542474,0.009459574937671255,0.8655626773834229,0.01081705093383789,186,11,-0.0359|-0.00946|0.02842,-0.00946,3,1
500,26,R_MYAS_APB_MUDENS,R_MEDD2_CV_WD,0.0,0.0,0.0,0.8845350742340088,0.009212017059326172,0.0,0.0,1,1,0.018224310525770452,0.008205059316591245,0.8663172721862793,0.0052950382232666016,186,2,-0.02824|0.00821,0.00821,2,1
500,27,DIFFN_SEV,R_LNLBE_APB_NEUR_ACT,1.1256427888560614e-16,0.0,0.0,0.7900667190551758,0.42268800735473633,0.0,0.0,1,1,0.011019246431320498,0.011019246431320498,0.7799766063690186,0.41610026359558105,186,84,-0.01102,-0.01102,1,1
500,28,R_LNLT1_LP_BE_APB_MALOSS,R_LNLBE_MED_PATHO,1.0000000000000004,0.0,0.0,0.761965274810791,0.22417306900024414,1.0,1.0,1,1,0.0560028823921499,0.0560028823921499,0.7711789608001709,0.22263693809509277,186,75,0.944,0.944,1,1
500,29,R_LNLBE_APB_MUDENS,R_MEDD2_DIFSLOW_WD,0.0,0.0,0.0,0.8584775924682617,0.006098508834838867,0.0,0.0,1,1,0.0035367689128083467,0.0005671385947229795,0.7667350769042969,0.004576921463012695,186,2,-0.00651|-0.00057,-0.00057,2,1
500,30,R_LNLT1_LP_BE_APB_DENERV,R_LNLW_APB_MUDENS,0.0,0.0,0.0,0.7864770889282227,0.00994253158569336,0.0,0.0,1,1,0.017864664004434715,0.017864664004434715,0.760307788848877,0.008273124694824219,186,7,-0.01786,-0.01786,1,1
500,31,R_MYOP_APB_DENERV,R_APB_MULOSS,0.0,0.0,0.0,0.7832856178283691,0.011343955993652344,0.0,0.0,1,1,0.007173205573913014,0.007173205573913014,0.8633706569671631,0.009512186050415039,186,13,0.00717,0.00717,1,1
500,32,R_APB_REPSTIM_FACILI,R_MUSCLE_APB_MUDENS,0.0,0.0,0.0,0.7654244899749756,0.006106376647949219,0.0,0.0,1,1,0.04160919248334807,0.04160919248334807,0.7669677734375,0.004354000091552734,186,2,-0.04161,-0.04161,1,1
500,33,R_APB_DENERV,R_LNLBE_MEDD2_BLOCK_EW,0.0,0.0,0.0,0.7707507610321045,0.007681131362915039,0.0,0.0,1,1,0.058463969382828586,0.058463969382828586,0.7911338806152344,0.005848884582519531,186,5,-0.05846,-0.05846,1,1
500,34,DIFFN_DISTR,R_LNLBE_MED_PATHO,-9.937660640001401e-17,0.0,0.0,0.780022382736206,0.507519006729126,-0.0,-0.0,1,1,0.02162835780076877,0.02162835780076877,0.777033805847168,0.502018928527832,186,107,0.02163,0.02163,1,1
500,35,R_LNLBE_MEDD2_RD_EW,DIFFN_TIME,0.0,0.0,0.0,0.9126746654510498,0.07842826843261719,0.0,0.0,1,1,0.002179284253500744,0.001926826306118193,0.8870511054992676,0.0831756591796875,186,44,-0.00243|-0.00193,-0.00193,2,1
