Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,F26,F68,0.0,0.0,0.0,0.12930965423583984,0.00511479377746582,0.0,0.0,1,1,0.056612165464739635,0.056612165464739635,0.12900805473327637,0.003951072692871094,109,2,-0.05661,-0.05661,1,1
500,1,F40,F65,0.0,0.0,0.0,0.12153124809265137,0.004750251770019531,0.0,0.0,1,1,0.005301997153467712,0.005301997153467712,0.12999677658081055,0.004065275192260742,109,2,-0.0053,-0.0053,1,1
500,2,F20,F45,0.0,0.0,0.0,0.12043642997741699,0.024060487747192383,0.0,0.0,1,1,0.02153725658709861,0.02153725658709861,0.10592889785766602,0.022423982620239258,109,21,-0.02154,-0.02154,1,1
500,3,F54,F43,0.0,0.0,0.0,0.10425162315368652,0.004684925079345703,0.0,0.0,1,1,0.0009218469708000701,0.0009218469708000701,0.11619400978088379,0.004424095153808594,109,2,0.00092,0.00092,1,1
500,4,F79,F65,0.0,0.0,0.0,0.11122846603393555,0.005307912826538086,0.0,0.0,1,1,0.04318400684505167,0.04318400684505167,0.12395548820495605,0.0040435791015625,109,2,-0.04318,-0.04318,1,1
500,5,F108,F32,0.0,0.0,0.0,0.12694978713989258,0.005713939666748047,0.0,0.0,1,1,0.050846507658095626,0.050846507658095626,0.10962843894958496,0.004878520965576172,109,2,0.05085,0.05085,1,1
500,6,F15,F1,0.0,0.0,0.0,0.13489818572998047,0.006010770797729492,0.0,0.0,1,1,0.029710533444885938,0.017627244651466274,0.1273503303527832,0.004320383071899414,109,2,0.01763|0.04179,0.01763,2,1
500,7,F11,F45,0.0,0.0,0.0,0.12435531616210938,0.005074977874755859,0.0,0.0,1,1,0.08643298535448116,0.04859490804460094,0.13364386558532715,0.0043849945068359375,109,2,-0.12427|-0.04859,-0.04859,2,1
500,8,F53,F54,0.0,0.0,0.0,0.12359905242919922,0.0075359344482421875,0.0,0.0,1,1,0.053477447580644,0.053477447580644,0.13266587257385254,0.0067920684814453125,109,7,-0.05348,-0.05348,1,1
500,9,F75,F28,0.0,0.0,0.0,0.13016867637634277,0.005251407623291016,0.0,0.0,1,1,0.0010448865639977032,0.0010448865639977032,0.12214541435241699,0.004355907440185547,109,2,0.00104,0.00104,1,1
500,10,F53,F29,0.0,0.0,0.0,0.1302320957183838,0.007490873336791992,0.0,0.0,1,1,0.007565694103391212,0.007565694103391212,0.13036441802978516,0.0072345733642578125,109,7,-0.00757,-0.00757,1,1
500,11,F70,F65,0.0,0.0,0.0,0.12168502807617188,0.005334138870239258,0.0,0.0,1,1,0.007921266641042613,0.007921266641042613,0.13365721702575684,0.004416465759277344,109,2,0.00792,0.00792,1,1
