Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,Plcg,Akt,0.0,0.0,0.0,0.011222600936889648,0.003515005111694336,0.0,0.0,1,1,0.044378559053638425,0.0021347766144669,0.012465953826904297,0.0024154186248779297,11,2,0.00213|0.03256|0.05922|0.0836,0.00213,4,1
500,1,PKC,Erk,-4.392091086429191e-16,0.0,0.0,0.007146358489990234,0.00796365737915039,-0.0,-0.0,1,1,0.09750967424944819,0.09750967424944819,0.008641719818115234,0.006493091583251953,11,8,-0.09751,-0.09751,1,1
500,2,PKA,Plcg,0.0,0.0,0.0,0.0055696964263916016,0.008914709091186523,0.0,0.0,1,1,0.03654567102508088,0.03654567102508088,0.008300304412841797,0.0054090023040771484,11,8,0.03655,0.03655,1,1
500,3,PKA,PIP3,0.0,0.0,0.0,0.008357524871826172,0.008867502212524414,0.0,0.0,1,1,0.07689776793671875,0.07689776793671875,0.005793094635009766,0.005324602127075195,11,8,0.0769,0.0769,1,1
500,4,Plcg,Akt,0.0,0.0,0.0,0.008794784545898438,0.0029022693634033203,0.0,0.0,1,1,0.014445857603451729,0.007277070660541099,0.005772113800048828,0.0027534961700439453,11,2,-0.02376|-0.02369|0.00306|0.00728,0.00728,4,1
500,5,Akt,PIP3,0.0,0.0,0.0,0.007862091064453125,0.003130674362182617,0.0,0.0,1,1,0.03338871995530802,0.006187782909876367,0.007422685623168945,0.0023925304412841797,11,2,-0.00619|0.06059,-0.00619,2,1
500,6,Akt,P38,0.0,0.0,0.0,0.00722813606262207,0.004126548767089844,0.0,0.0,1,1,0.034948013829172606,0.019967775655688826,0.03044891357421875,0.004250049591064453,11,2,0.01997|0.04993,0.01997,2,1
500,7,PIP3,PKA,0.0,0.0,0.0,0.007884025573730469,0.007768392562866211,0.0,0.0,1,1,0.10314798957745416,0.023020886663774196,0.010330677032470703,0.010186433792114258,11,8,0.02302|0.05185|0.16784|0.16988,0.02302,4,1
500,8,Akt,P38,0.0,0.0,0.0,0.007477998733520508,0.003350496292114258,0.0,0.0,1,1,0.06754495368877941,0.04624190541091839,0.011977434158325195,0.003007650375366211,11,2,0.04624|0.08885,0.04624,2,1
500,9,Jnk,Akt,0.0,0.0,0.0,0.006768703460693359,0.008043527603149414,0.0,0.0,1,1,0.0038264709503513256,0.0038264709503513256,0.007407665252685547,0.0030105113983154297,11,2,0.00383,0.00383,1,1
500,10,PIP3,Akt,0.0,0.0,0.0,0.009775161743164062,0.003041505813598633,0.0,0.0,1,1,0.01203374638037951,0.002968920539224291,0.006337404251098633,0.002583742141723633,11,2,-0.01789|-0.01753|-0.00975|-0.00297,-0.00297,4,1
500,11,Erk,P38,0.0,0.0,0.0,0.010654449462890625,0.003032207489013672,0.0,0.0,1,1,0.0290580421835149,0.02245589972774087,0.007235050201416016,0.0026204586029052734,11,2,-0.04239|-0.02246|-0.02233,-0.02246,3,1
500,12,Akt,PIP3,0.0,0.0,0.0,0.016326427459716797,0.0031707286834716797,0.0,0.0,1,1,0.05410818785518451,0.044618082707575286,0.008925199508666992,0.002587556838989258,11,2,-0.0636|-0.04462,-0.04462,2,1
500,13,Jnk,P38,0.0,0.0,0.0,0.01996302604675293,0.0032401084899902344,0.0,0.0,1,1,0.013996025748513512,0.013996025748513512,0.007348060607910156,0.0035715103149414062,11,2,0.014,0.014,1,1
500,14,Jnk,Akt,0.0,0.0,0.0,0.010614395141601562,0.003368377685546875,0.0,0.0,1,1,0.0023756090577956935,0.0023756090577956935,0.012244701385498047,0.005748271942138672,11,2,-0.00238,-0.00238,1,1
500,15,PKA,PIP3,0.0,0.0,0.0,0.007970333099365234,0.009944438934326172,0.0,0.0,1,1,0.010881215789666126,0.010881215789666126,0.011513948440551758,0.006260871887207031,11,8,0.01088,0.01088,1,1
500,16,PIP3,PKC,0.0,0.0,0.0,0.006724119186401367,0.010469436645507812,0.0,0.0,1,1,0.037587766749418106,0.012653902162364802,0.011085987091064453,0.007371425628662109,11,9,0.01265|0.01619|0.05865|0.06286,0.01265,4,1
500,17,PKA,PIP2,0.0,0.0,0.0,0.012904644012451172,0.013670921325683594,0.0,0.0,1,1,0.18953476360130156,0.18953476360130156,0.007155179977416992,0.0066165924072265625,11,8,-0.18953,-0.18953,1,1
500,18,Jnk,Mek,0.0,0.0,0.0,0.019249677658081055,0.0045588016510009766,0.0,0.0,1,1,0.015284829851905511,0.015284829851905511,0.01012277603149414,0.004038810729980469,11,2,0.01528,0.01528,1,1
500,19,Akt,PIP3,0.0,0.0,0.0,0.01318049430847168,0.003922939300537109,0.0,0.0,1,1,0.03329725239624148,0.022327747646019535,0.010101079940795898,0.0030100345611572266,11,2,-0.02233|0.04427,-0.02233,2,1
500,20,Raf,P38,0.0,0.0,0.0,0.00860285758972168,0.004164695739746094,0.0,0.0,1,1,0.006568003598082486,0.003125887229171253,0.011681556701660156,0.0051763057708740234,11,2,-0.01001|0.00313,0.00313,2,1
500,21,PIP2,PKA,0.0,0.0,0.0,0.008914947509765625,0.008967876434326172,0.0,0.0,1,1,0.09465943417516992,0.04520704354186967,0.012084484100341797,0.012663841247558594,11,8,-0.1126|-0.11186|-0.10897|-0.04521,-0.04521,4,1
500,22,Erk,PIP2,0.0,0.0,0.0,0.007379055023193359,0.003518342971801758,0.0,0.0,1,1,0.03605181917565719,0.019994151107464487,0.013537168502807617,0.0025756359100341797,11,2,-0.04999|-0.03817|-0.01999,-0.01999,3,1
500,23,Mek,P38,0.0,0.0,0.0,0.007494926452636719,0.0035109519958496094,0.0,0.0,1,1,0.0427814194473795,0.010436612514033565,0.011870145797729492,0.0028047561645507812,11,2,-0.08921|-0.0287|-0.01044,-0.01044,3,1
500,24,Akt,PIP3,0.0,0.0,0.0,0.0070607662200927734,0.003125905990600586,0.0,0.0,1,1,0.040375705382636504,0.025618679106877866,0.010694026947021484,0.003232240676879883,11,2,-0.05513|-0.02562,-0.02562,2,1
500,25,Mek,Akt,0.0,0.2222222222222222,0.16666666666666666,0.013928651809692383,0.010255813598632812,0.0|0.33333,0.0|0.33333,2,2,0.23707310226519832,0.16821689071317245,0.00703883171081543,0.0056324005126953125,11,3,0.00506|0.33138|0.37479,0.00506|0.33138,3,2
500,26,PIP2,Jnk,0.0,0.0,0.0,0.007090568542480469,0.007000923156738281,0.0,0.0,1,1,0.10295354891663304,0.03408902033549559,0.006232261657714844,0.002747774124145508,11,2,0.03409|0.04006|0.16507|0.1726,0.03409,4,1
500,27,PKC,PIP3,0.0,0.0,0.0,0.006659984588623047,0.012540340423583984,0.0,0.0,1,1,0.0502392014953075,0.0502392014953075,0.006064414978027344,0.01009988784790039,11,9,-0.05024,-0.05024,1,1
500,28,PKC,PIP2,0.0,0.0,0.0,0.006331443786621094,0.011900901794433594,0.0,0.0,1,1,0.18715289169788987,0.18715289169788987,0.013557910919189453,0.0072689056396484375,11,9,-0.18715,-0.18715,1,1
500,29,Plcg,Akt,0.0,0.0,0.0,0.016564369201660156,0.007607698440551758,0.0,0.0,1,1,0.019008059159029186,0.0002890908233386338,0.010844945907592773,0.0044095516204833984,11,2,-0.03714|-0.01826|-0.00029|0.02035,-0.00029,4,1
500,30,P38,Plcg,0.0,0.0,0.0,0.01177358627319336,0.006317615509033203,0.0,0.0,1,1,0.02885160373477349,0.02885160373477349,0.01623678207397461,0.0034236907958984375,11,2,0.02885,0.02885,1,1
500,31,P38,Erk,0.0,0.0,0.0,0.00803685188293457,0.01252603530883789,0.0,0.0,1,1,0.0025561345176650296,0.0025561345176650296,0.006335020065307617,0.004824399948120117,11,2,0.00256,0.00256,1,1
500,32,PKA,Plcg,0.0,0.0,0.0,0.008823633193969727,0.010281085968017578,0.0,0.0,1,1,0.007744073235260651,0.007744073235260651,0.009833097457885742,0.010375499725341797,11,8,0.00774,0.00774,1,1
500,33,PIP2,Jnk,0.0,0.0,0.0,0.007992744445800781,0.0032825469970703125,0.0,0.0,1,1,0.12125567495943994,0.0652673657267345,0.006014823913574219,0.011207818984985352,11,2,0.06527|0.07746|0.16625|0.17604,0.06527,4,1
500,34,PIP2,Mek,0.0,0.0,0.0,0.008141517639160156,0.003645181655883789,0.0,0.0,1,1,0.007494622136421308,0.011875106710672627,0.00705409049987793,0.0027642250061035156,11,2,-0.00883|-0.00876|0.00051|0.01188,0.01188,4,1
500,35,P38,Plcg,0.0,0.0,0.0,0.008543014526367188,0.003918170928955078,0.0,0.0,1,1,0.0691980567332537,0.0691980567332537,0.007451534271240234,0.0027451515197753906,11,2,0.0692,0.0692,1,1
500,36,PIP3,PKC,0.0,0.0,0.0,0.014676809310913086,0.012052297592163086,0.0,0.0,1,1,0.06791035807707865,0.019805689812749404,0.011040687561035156,0.010241985321044922,11,9,0.01981|0.06021|0.09422|0.09741,0.01981,4,1
500,37,Erk,P38,0.0,0.0,0.0,0.007771968841552734,0.00682520866394043,0.0,0.0,1,1,0.014005801837265486,0.0017966030400053835,0.0066416263580322266,0.00333404541015625,11,2,-0.02114|-0.0018|0.01908,-0.0018,3,1
500,38,Plcg,Mek,0.0,0.0,0.0,0.01034688949584961,0.003505229949951172,0.0,0.0,1,1,0.030246306779326822,0.005471719321710946,0.008284568786621094,0.002949953079223633,11,2,0.00547|0.02627|0.03527|0.05397,0.00547,4,1
500,39,Raf,Akt,0.0,0.125,0.125,0.017678022384643555,0.0058214664459228516,0.0|0.25,0.0|0.25,2,2,0.1377456845265639,0.1377456845265639,0.008027315139770508,0.008745431900024414,11,4,-0.03131|0.24418,-0.03131|0.24418,2,2
500,40,Plcg,P38,0.0,0.0,0.0,0.0174562931060791,0.003411531448364258,0.0,0.0,1,1,0.059301302204757295,0.0043473100770842835,0.00762486457824707,0.0026183128356933594,11,2,-0.11129|-0.09398|-0.02758|-0.00435,-0.00435,4,1
