Sample_Size,Exp_ID,T,Y,True_Effect,MAE_Full,MAE_Local,Time_Full,Time_Local,Eff_Full,Eff_Local,Set_Size_Full,Set_Size_Local,MAE_Full_n,MAE_Local_n,Time_Full_n,Time_Local_n,Vars_Full,Vars_Local,Eff_Full_n,Eff_Local_n,Set_Size_Full_n,Set_Size_Local_n
500,0,FllCrrptdBffr,Problem1,0.0,0.16666666666666666,0.16666666666666666,0.13922452926635742,0.00737452507019043,0.0|0.33333,0.0|0.33333,2,2,0.17636865992482798,0.17636865992482798,0.10939621925354004,0.005854606628417969,76,3,-0.02032|0.33242,-0.02032|0.33242,2,2
500,1,NnPSGrphc,LclOK,0.0,0.0,0.0,0.11251330375671387,0.0038976669311523438,0.0,0.0,1,1,0.016481444423181807,0.016805502110032813,0.11172246932983398,0.0030281543731689453,76,2,-0.01681|-0.01616,-0.01681,2,1
500,2,PrtPort,FntInstlltn,0.0,0.0,0.0,0.09271717071533203,0.08669209480285645,0.0,0.0,1,1,0.005806561624589072,0.005806561624589072,0.10568046569824219,0.009193181991577148,76,8,-0.00581,-0.00581,1,1
500,3,PrtStatToner,PrtPaper,0.0,0.0,0.0,0.0973973274230957,0.005000591278076172,0.0,0.0,1,1,0.0018801430245385603,0.0018801430245385603,0.09571170806884766,0.0046138763427734375,76,4,0.00188,0.00188,1,1
500,4,Problem6,GrphcsRltdDrvrSttngs,0.0,0.0,0.0,0.09474945068359375,0.007338285446166992,0.0,0.0,1,1,0.04370619657186064,0.00717355107931377,0.09441494941711426,0.007786989212036133,76,5,0.00717|0.0551|0.05582|0.05674,0.00717,4,1
500,5,DSApplctn,NnTTOK,0.0,0.0,0.0,0.09229660034179688,0.0040171146392822266,0.0,0.0,1,1,0.007372426138547222,0.003974953106126202,0.09068012237548828,0.0032579898834228516,76,2,0.00397|0.01077,0.00397,2,1
500,6,NtSpd,PrtData,0.0,0.0,0.0,0.09644770622253418,0.004076719284057617,0.0,0.0,1,1,0.016472613351583294,0.004130193228120296,0.09344220161437988,0.0037903785705566406,76,2,-0.02527|0.00413|0.00828|0.02132|0.02336,0.00413,5,1
500,7,TTOK,NetPrint,0.0,0.0,0.0,0.10189604759216309,0.005354881286621094,0.0,0.0,1,1,0.02248377260813544,0.009818928563440814,0.09085249900817871,0.00439143180847168,76,5,0.00982|0.02018|0.03745,0.00982,3,1
500,8,PrtStatOff,GrbldPS,0.0,0.0,0.0,0.09337759017944336,0.0038042068481445312,0.0,0.0,1,1,0.05127002685493131,0.05127002685493131,0.08880376815795898,0.005913257598876953,76,2,-0.05127,-0.05127,1,1
500,9,NtwrkCnfg,AppData,-4.645856349200655e-15,0.0,0.0,0.09174680709838867,0.019896745681762695,-0.0,-0.0,1,1,0.151803213105325,0.151803213105325,0.08927440643310547,0.02122211456298828,76,17,-0.1518,-0.1518,1,1
500,10,PrtMpTPth,TrTypFnts,0.0,0.0,0.0,0.11780095100402832,0.004738807678222656,0.0,0.0,1,1,0.017366340373871737,0.0036124575683945098,0.09843802452087402,0.004151344299316406,76,2,0.00361|0.03112,0.00361,2,1
500,11,Problem6,PrtStatToner,0.0,0.0,0.0,0.09311199188232422,0.0073566436767578125,0.0,0.0,1,1,0.10842327017562536,0.04759780446649285,0.10092544555664062,0.00507044792175293,76,2,-0.15435|-0.15237|-0.07937|-0.0476,-0.0476,4,1
500,12,PrntrAccptsTrtyp,PrtOn,0.0,0.0,0.0,0.10261869430541992,0.007699012756347656,0.0,0.0,1,1,0.021432999969917214,0.002582689697969448,0.1135556697845459,0.005742549896240234,76,4,-0.00258|0.04028,-0.00258,2,1
500,13,PrtPort,PrtSpool,-2.3684757858670006e-16,0.0,0.0,0.1263432502746582,0.010809183120727539,-0.0,-0.0,1,1,0.08112697301051125,0.08112697301051125,0.11642837524414062,0.009969711303710938,76,13,-0.08113,-0.08113,1,1
500,14,CmpltPgPrntd,Problem5,0.0,0.0,0.0,0.09520649909973145,0.004879951477050781,0.0,0.0,1,1,0.01956929340159826,0.003341873509507885,0.09485435485839844,0.005083322525024414,76,2,-0.02963|-0.00388|-0.00334|0.01667|0.03029|0.03361,-0.00334,6,1
500,15,PrtIcon,DS_LCLOK,0.0,0.0,0.0,0.12645554542541504,0.004741191864013672,0.0,0.0,1,1,0.00413857686841501,0.00413857686841501,0.12572407722473145,0.006820201873779297,76,2,0.00414,0.00414,1,1
500,16,PrtPath,PTROFFLINE,0.0,0.0,0.0,0.09978294372558594,0.00983119010925293,0.0,0.0,1,1,0.03595557905987949,0.03595557905987949,0.09717202186584473,0.008173942565917969,76,6,-0.03596,-0.03596,1,1
500,17,DskLocal,PrtStatPaper,0.0,0.0,0.0,0.08750224113464355,0.006817817687988281,0.0,0.0,1,1,0.030122231575885703,0.030122231575885703,0.09317874908447266,0.0058896541595458984,76,8,-0.03012,-0.03012,1,1
500,18,AvlblVrtlMmry,PrtQueue,0.0,0.0,0.0,0.12627530097961426,0.02718830108642578,0.0,0.0,1,1,0.0167933000275262,0.0167933000275262,0.11758971214294434,0.007128000259399414,76,6,0.01679,0.01679,1,1
500,19,PrtOn,DSApplctn,0.0,0.0,0.0,0.11444640159606934,0.00825357437133789,0.0,0.0,1,1,0.04682819679622378,0.04682819679622378,0.09756278991699219,0.007415294647216797,76,5,0.04683,0.04683,1,1
500,20,PrtStatMem,TrTypFnts,0.0,0.0,0.0,0.09354043006896973,0.004039764404296875,0.0,0.0,1,1,0.025953841358862414,0.025953841358862414,0.09275054931640625,0.0029964447021484375,76,2,0.02595,0.02595,1,1
500,21,DSApplctn,DrvSet,0.0,0.375,0.375,0.09495043754577637,0.007333993911743164,0.0|0.75,0.0|0.75,2,2,0.4175815091030789,0.4175815091030789,0.09385395050048828,0.0060787200927734375,76,6,0.06998|0.76519,0.06998|0.76519,2,2
500,22,NetOK,PrtThread,0.0,0.375,0.375,0.09211516380310059,0.008533239364624023,0.0|0.75,0.0|0.75,2,2,0.3708437160337798,0.3708437160337798,0.09897828102111816,0.009672164916992188,76,8,0.00059|0.74109,0.00059|0.74109,2,2
500,23,NtwrkCnfg,PrtStatOff,0.0,0.0,0.0,0.10069942474365234,0.009580850601196289,0.0,0.0,1,1,0.0667896027037127,0.0667896027037127,0.09613227844238281,0.013902664184570312,76,9,-0.06679,-0.06679,1,1
500,24,PrtCbl,PrtStatOff,0.0,0.0,0.0,0.08506655693054199,0.0074727535247802734,0.0,0.0,1,1,0.04003287747535431,0.04003287747535431,0.09575390815734863,0.006445169448852539,76,5,0.04003,0.04003,1,1
500,25,TrTypFnts,EPSGrphc,0.0,0.0,0.0,0.09877467155456543,0.011391401290893555,0.0,0.0,1,1,0.0025098801005924644,0.0005823809672187675,0.1226959228515625,0.02290964126586914,76,5,0.00058|0.00444,0.00058,2,1
500,26,PrtFile,PrtStatPaper,0.0,0.0,0.0,0.12311530113220215,0.0038139820098876953,0.0,0.0,1,1,0.018991838678860017,0.018991838678860017,0.10684704780578613,0.0030176639556884766,76,2,-0.01899,-0.01899,1,1
500,27,NnTTOK,AvlblVrtlMmry,0.0,0.0,0.0,0.2523360252380371,0.008195161819458008,0.0,0.0,1,1,0.029535602721846164,0.02138751761320533,0.12602639198303223,0.004195690155029297,76,6,-0.05994|-0.02139|-0.00728,-0.02139,3,1
500,28,Problem3,PrtThread,0.0,0.0,0.0,0.09249138832092285,0.010076522827148438,0.0,0.0,1,1,0.04859759593783333,0.02044028332707638,0.123321533203125,0.006386756896972656,76,8,-0.06604|-0.05653|-0.05138|-0.02044,-0.02044,4,1
500,29,PrtStatMem,PTROFFLINE,0.0,0.0,0.0,0.09170222282409668,0.007947921752929688,0.0,0.0,1,1,0.012155264908803308,0.012155264908803308,0.09033346176147461,0.006201028823852539,76,6,-0.01216,-0.01216,1,1
500,30,Problem4,CmpltPgPrntd,0.0,0.0,0.0,0.09857416152954102,0.005184650421142578,0.0,0.0,1,1,0.011337765945801442,0.0010471026314982283,0.13824892044067383,0.0037462711334228516,76,2,-0.03131|-0.00105|0.00166,-0.00105,3,1
500,31,PrtIcon,PSGRAPHIC,0.0,0.0,0.0,0.12938165664672852,0.0045719146728515625,0.0,0.0,1,1,0.00586630073753359,0.00586630073753359,0.12094879150390625,0.0054361820220947266,76,2,-0.00587,-0.00587,1,1
500,32,LclOK,PrtSpool,0.0,0.375,0.375,0.11640501022338867,0.011020660400390625,0.0|0.75,0.0|0.75,2,2,0.37447621808617193,0.37447621808617193,0.09841322898864746,0.009948492050170898,76,11,-0.00478|0.74417,-0.00478|0.74417,2,2
500,33,PrtStatToner,PrtPaper,0.0,0.0,0.0,0.10355758666992188,0.0046350955963134766,0.0,0.0,1,1,0.03674235227534367,0.03674235227534367,0.08159422874450684,0.003681659698486328,76,4,-0.03674,-0.03674,1,1
500,34,LclGrbld,AvlblVrtlMmry,0.0,0.21428571428571427,0.21428571428571427,0.09537816047668457,0.016224384307861328,0.0|0.42857,0.0|0.42857,2,2,0.2494907803958678,0.2494907803958678,0.08528804779052734,0.0071773529052734375,76,7,0.06469|0.43429,0.06469|0.43429,2,2
500,35,NnTTOK,PrtThread,0.0,0.0,0.0,0.09618949890136719,0.00788116455078125,0.0,0.0,1,1,0.04191953301105844,0.013311086206371194,0.13567471504211426,0.008168458938598633,76,8,-0.08036|-0.01331|0.03208,-0.01331,3,1
500,36,GrbldPS,PrtStatPaper,0.0,0.0,0.0,0.12002801895141602,0.004071950912475586,0.0,0.0,1,1,0.09062022472120977,0.025574956985916365,0.12093091011047363,0.003374814987182617,76,2,-0.11888|-0.1174|-0.10063|-0.02557,-0.02557,4,1
500,37,NtGrbld,PrtFile,0.0,0.0,0.0,0.12402153015136719,0.0043599605560302734,0.0,0.0,1,1,0.003025832301575902,0.001705234628241721,0.120880126953125,0.003208160400390625,76,2,-0.00435|0.00171,0.00171,2,1
500,38,AppData,NtSpd,0.0,0.0,0.0,0.09166479110717773,0.023369550704956055,0.0,0.0,1,1,0.0028672723880828815,0.0028672723880828815,0.10412764549255371,0.023903608322143555,76,13,0.00287,0.00287,1,1
500,39,PrtStatToner,LclOK,0.0,0.0,0.0,0.12530517578125,0.0042002201080322266,0.0,0.0,1,1,0.048117755040457476,0.048117755040457476,0.1191110610961914,0.003984689712524414,76,2,-0.04812,-0.04812,1,1
